title	company	record	area	link	site_name
모바일 개발자 (전임급 1명)	㈜닷	개발·데이터	서울 금천구	https://www.jobkorea.co.kr/Recruit/GI_Read/46003711?Oem_Code=C1&sc=212	잡코리아
웹 프론트 개발자 (전임급 1명)	㈜닷	개발·데이터	서울 금천구	https://www.jobkorea.co.kr/Recruit/GI_Read/46003676?Oem_Code=C1&sc=212	잡코리아
시스템 엔지니어	㈜소프트넷	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46331917?Oem_Code=C1&sc=212	잡코리아
JAVA 개발자	㈜소프트넷	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46331884?Oem_Code=C1&sc=212	잡코리아
AIoT 플랫폼 앱/서버 엔지니어(5-10년)	아카라라이프㈜	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46329796?Oem_Code=C1&sc=212	잡코리아
[서울] 데이터사업부 개발자 - MES	위즈코어㈜	개발·데이터	서울 성동구	https://www.jobkorea.co.kr/Recruit/GI_Read/46323011?Oem_Code=C1&sc=212	잡코리아
[D.Tech 센터] 블록체인 개발팀 (팀원)	이노그리드	개발·데이터	서울 금천구	https://www.jobkorea.co.kr/Recruit/GI_Read/46318998?Oem_Code=C1&sc=212	잡코리아
무선 통신개발 S/W (신입/경력)	모본㈜	개발·데이터	서울 강남구 외 5	https://www.jobkorea.co.kr/Recruit/GI_Read/46317546?Oem_Code=C1&sc=212	잡코리아
하드웨어 개발팀 펌웨어 엔지니어	오션스바이오	개발·데이터	서울 용산구	https://www.jobkorea.co.kr/Recruit/GI_Read/46315711?Oem_Code=C1&sc=212	잡코리아
Cisco IPCC Field Engineer	㈜ECS텔레콤	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46313023?Oem_Code=C1&sc=212	잡코리아
CTI 솔루션 개발 (ETI) 과장급	㈜ECS텔레콤	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46313004?Oem_Code=C1&sc=212	잡코리아
웨어러블 로봇 시스템 펌웨어 개발(석사급)	㈜엔젤로보틱스	개발·데이터	서울 성동구	https://www.jobkorea.co.kr/Recruit/GI_Read/46310059?Oem_Code=C1&sc=212	잡코리아
[ICT사업본부] 솔루션 백엔드개발자 경력직	㈜이젬코	개발·데이터	서울 성동구	https://www.jobkorea.co.kr/Recruit/GI_Read/46310045?Oem_Code=C1&sc=212	잡코리아
[플랫폼 RnD센터] Back-end 개발자	㈜이젬코	개발·데이터	서울 성동구	https://www.jobkorea.co.kr/Recruit/GI_Read/46310026?Oem_Code=C1&sc=212	잡코리아
Back-End 개발자 (리드급)	딥브레인 AI	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46309899?Oem_Code=C1&sc=212	잡코리아
