| site_name | title | company | record | area |
| 잡코리아 | [Back-End 개발자 (리드급)](https://www.jobkorea.co.kr/Recruit/GI_Read/46309899?Oem_Code=C1&sc=212) | 딥브레인 AI | 개발·데이터 | 서울 강남구 |
| 원티드 | [Front-end 엔지니어 / 병특가능](https://www.wanted.co.kr/wd/107943) | 딥브레인에이아이 | 경력 3-17년 | 서울 강남구 |
| 원티드 | [Senior Frontend Engineer (전문연구요원 가능)](https://www.wanted.co.kr/wd/210921) | 라이너(Liner) | 경력 6년 이상 | 서울 마포구 |
| 원티드 | [블록체인 서비스 FE개발자](https://www.wanted.co.kr/wd/258158) | 람다256 | 경력 5-8년 | 서울 서초구 |
| 원티드 | [Software Developer(Python)](https://www.wanted.co.kr/wd/261586) | 람다256 | 경력 3-7년 | 서울 서초구 |
| 원티드 | [서비스 엔진 개발자 (5년이상~10년이하)](https://www.wanted.co.kr/wd/264018) | 래브라도랩스 | 경력 5년 이상 | 서울 서초구 |
| 원티드 | [시니어 백엔드 개발자 (6년 이상)](https://www.wanted.co.kr/wd/254245) | 래피드글로벌 | 경력 6-14년 | 서울 강남구 |
| 원티드 | [의료영상 분석 웹서비스 풀스택 개발](https://www.wanted.co.kr/wd/266437) | 레이메드 | 경력 5-6년 | 서울 서초구 |
| 원티드 | [NestJS 백엔드 개발 (3~7년)](https://www.wanted.co.kr/wd/263112) | 레인디어스 | 경력 3-7년 | 서울 서초구 |
| 인크루트 | [25년 1월 정규직(경력)-프론트엔드개발](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501220000060) | 롯데렌탈(주) | 경력3년↑ | 강남구 |
| 원티드 | [웹개발자(Python, Django) 3년이상](https://www.wanted.co.kr/wd/148349) | 리걸테크 | 경력 3-7년 | 서울 성동구 |
| 사람인 | [[백엔드/서버개발] SI사업부 경력직 프로그래머 모집](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49695743) | 리드정보기술㈜ | 3 ~ 10년 · 정규직 | 서울 영등포구 |
| 원티드 | [Web Frontend DevOps Engineer](https://www.wanted.co.kr/wd/262864) | 리디(RIDI) | 경력 3-10년 | 서울 강남구 |
| 원티드 | [3D 이커머스 백엔드 시니어 개발자 (NestJS) 리드급](https://www.wanted.co.kr/wd/264793) | 리브포워드 | 경력 5-10년 | 서울 중구 |
| 원티드 | [Sr. Developer(5~10년)](https://www.wanted.co.kr/wd/265488) | 리코(recokr) | 경력 5-10년 | 서울 강남구 |
| 원티드 | [[아트워커] 웹 개발자](https://www.wanted.co.kr/wd/262618) | 리프로덕션 | 경력 5년 이상 | 서울 마포구 |
| 원티드 | [플랫폼 엔지니어](https://www.wanted.co.kr/wd/208417) | 마스오토 | 경력 3-10년 | 서울 서초구 |
| 사람인 | [[Telperformance Korea] IT Analyst(5+ 이상) 정규직 채용공고](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49946423) | 마조렐코리아(유) | 경력 3년↑ · 정규직 | 서울 용산구 |
| 사람인 | [[망고카] 프론트엔드 개발(신입/경력) 채용](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50136515) | 망고카(주) | 신입 · 경력 · 정규직 | 서울 영등포구 |
| 원티드 | [[테크사업부] 시니어 백엔드 개발자](https://www.wanted.co.kr/wd/222552) | 매드업 | 경력 5-10년 | 서울 강남구 |
| 원티드 | [Backend Engineer (QANDA Core) (산업기능요원/전문연구요원)](https://www.wanted.co.kr/wd/231479) | 매스프레소(콴다) | 경력 2-10년 | 서울 강남구 |
| 원티드 | [백엔드 개발자 (벤지니어)](https://www.wanted.co.kr/wd/231453) | 머스트핀테크 | 경력 5년 이상 | 서울 강남구 |
| 사람인 | [서비스 플랫폼 개발자 경력직 채용](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806118) | 메가스터디교육(주) | 경력 4년↑ · 정규직 | 서울 서초구 |
| 인크루트 | [[E-BOOK] E-BOOK 웹서비스 개발 및 운영](https://job.incruit.com/jobdb_info/jobpost.asp?job=2502180001091) | 메가스터디교육(주) | 서울 | 3년↑ |
| 잡코리아 | [Backend engineer](https://www.jobkorea.co.kr/Recruit/GI_Read/45991070?Oem_Code=C1&sc=212) | 메디웨일 | 개발·데이터 | 서울 강남구 |
| 잡코리아 | [System engineer](https://www.jobkorea.co.kr/Recruit/GI_Read/45991059?Oem_Code=C1&sc=212) | 메디웨일 | 개발·데이터 | 서울 강남구 |
| 잡코리아 | [데이터 엔지니어](https://www.jobkorea.co.kr/Recruit/GI_Read/45991050?Oem_Code=C1&sc=212) | 메디웨일 | 개발·데이터 | 서울 강남구 |
| 원티드 | [프론트엔드 리드 엔지니어 (리더)](https://www.wanted.co.kr/wd/212583) | 모두싸인 | 경력 5-13년 | 서울 강남구 |
| 원티드 | [[신사업]엔지니어링 매니저](https://www.wanted.co.kr/wd/263418) | 모두싸인 | 경력 6-15년 | 서울 강남구 |
| 원티드 | [백엔드 개발(6년 이상)](https://www.wanted.co.kr/wd/261356) | 모두의연구소 | 경력 6년 이상 | 서울 강남구 |
| 잡코리아 | [영상 인식 알고리즘 개발 엔지니어](https://www.jobkorea.co.kr/Recruit/GI_Read/46317846?Oem_Code=C1&sc=212) | 모본㈜ | 개발·데이터 | 서울 강남구 외 5 |
| 잡코리아 | [무선 통신개발 S/W (신입/경력)](https://www.jobkorea.co.kr/Recruit/GI_Read/46317546?Oem_Code=C1&sc=212) | 모본㈜ | 개발·데이터 | 서울 강남구 외 5 |
| 원티드 | [Senior AI Researcher](https://www.wanted.co.kr/wd/205410) | 모빅랩 | 경력 3-25년 | 서울 서초구 |
| 잡코리아 | [AI 컨설턴트](https://www.jobkorea.co.kr/Recruit/GI_Read/46308766?Oem_Code=C1&sc=212) | 몬드리안에이아이 | 개발·데이터 | 인천 연수구 외 2 |
| 원티드 | [백엔드 엔지니어 (Python/Django)](https://www.wanted.co.kr/wd/18295) | 뮤즈라이브(Muzlive) | 경력 2-10년 | 서울 마포구 |
| 원티드 | [웹개발자](https://www.wanted.co.kr/wd/260629) | 미디어윌네트웍스(알바천국) | 경력 3-10년 | 서울 강남구 |
| 원티드 | [AI 백엔드 개발자](https://www.wanted.co.kr/wd/265246) | 미디어윌네트웍스(알바천국) | 경력 3-10년 | 서울 강남구 |
| 사람인 | [프로그램 운영 관리 하실분을 모집 합니다.](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49956442) | 미래씨앤에스 | 1 ~ 5년 · 정규직 | 서울 중구 |
| 원티드 | [데이터/검색엔진 엔지니어 (Python, Elastic search)](https://www.wanted.co.kr/wd/262931) | 바이오리서치에이아이 | 신입-경력 5년 | 서울 강남구 |
| 사람인 | [쥬베룩(의료기기) IT 경력 채용](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49864442) | 바임글로벌(주) | 5 ~ 8년 · 정규직 | 서울 강남구 |
| 잡코리아 | [[BANDI SNC] 솔루션 개발자](https://www.jobkorea.co.kr/Recruit/GI_Read/46370783?Oem_Code=C1&sc=212) | 반디에스앤씨㈜ | 개발·데이터 | 서울 성동구 |
| 인크루트 | [23. Product Designer UI/UX 5년이상 [유망 SaaS 스타트업]](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501170000138) | 베스트네트워크(주) | 경력5~8년 | 강남구 |
| 원티드 | [Backend Engineer (Senior)](https://www.wanted.co.kr/wd/207873) | 베슬에이아이(VESSL AI) | 경력 6-15년 | 서울 강남구 |
| 인크루트 | [[AI Game Studio] 프론트엔드 웹 개발자](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501100002813) | 베이글코드 | 경력5년↑ | 강남구 |
| 원티드 | [C# 엔지니어 (C#, WPF) (주니어/미드레벨)](https://www.wanted.co.kr/wd/259886) | 벳칭 | 경력 3-10년 | 서울 서초구 |
| 원티드 | [Windows 개발자](https://www.wanted.co.kr/wd/269413) | 뷰노 | 경력 3-10년 | 서울 서초구 |
| 사람인 | [[상장사/성수역] 통합로그관리 SW 기술지원 엔지니어](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49747199) | 브레인즈컴퍼니(주) | 5 ~ 10년 · 정규직 | 서울전체 외 |
| 사람인 | [[브릭메이트] 프로덕트 유지보수 PM 모집](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49727674) | 브릭메이트 주식회사 | 5 ~ 15년 · 정규직 | 서울 영등포구 |
| 원티드 | [SAP BC 운영 및 개발자(4년 이상)](https://www.wanted.co.kr/wd/188391) | 브이엔티지 | 경력 4-10년 | 서울 마포구 |
| 잡코리아 | [서버개발(후후앱) 담당](https://www.jobkorea.co.kr/Recruit/GI_Read/46337130?Oem_Code=C1&sc=212) | 브이피㈜ | 개발·데이터 | 서울 중구 |
| 원티드 | [JAVA 풀스택 웹개발자 (5년이상)](https://www.wanted.co.kr/wd/257517) | 블루비즈 | 경력 5-15년 | 서울 구로구 |
| 잡코리아 | [[F&B with AI] 소프트웨어 개발자](https://www.jobkorea.co.kr/Recruit/GI_Read/46416535?Oem_Code=C1&sc=212) | 블리츠다이나믹스 | 개발·데이터 | 서울 강동구 외 1 |
| 원티드 | [[F&B with AI] 풀스택 개발자](https://www.wanted.co.kr/wd/240726) | 블리츠다이나믹스 | 경력 3-10년 | 서울 강남구 |
| 원티드 | [시니어 풀스택 개발자 (5년 ~ 8년차)](https://www.wanted.co.kr/wd/268952) | 블리츠다이나믹스 | 경력 5-8년 | 서울 강남구 |
| 원티드 | [백엔드 개발자 (6년 이상)](https://www.wanted.co.kr/wd/257215) | 비누커머스 | 경력 6년 | 서울 마포구 |
| 원티드 | [Front-end Engineer (5년~)](https://www.wanted.co.kr/wd/120365) | 비사이드코리아 | 경력 5년 이상 | 서울 중구 |
| 인크루트 | [[BYN블랙야크] 웹사이트 개발 부문 경력직 채용(~1/24(금))](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501160002824) | 비와이엔블랙야크 | 경력5~9년 | 서초구 |
| 원티드 | [SRE 엔지니어](https://www.wanted.co.kr/wd/190531) | 빗썸 | 경력 1-6년 | 서울 강남구 |
| 원티드 | [SRE/공통 서비스 개발자](https://www.wanted.co.kr/wd/195760) | 빗썸 | 경력 3-8년 | 서울 강남구 |
| 인크루트 | [삼양식품 - Healthcare BU HC)Digital Tech팀 Frontend(웹)개발파트 채용](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501230001926) | 삼양식품 | 경력2~5년 | 성동구 |
| 원티드 | [이커머스 솔루션 Python Backend 리드](https://www.wanted.co.kr/wd/267011) | 샐러드랩 | 경력 3-8년 | 서울 강남구 |
| 원티드 | [Software Engineer (Front-end) - 3년 이상](https://www.wanted.co.kr/wd/159400) | 샵라이브 | 경력 3-10년 | 서울 강남구 |
| 원티드 | [Web TL (Web Technical Lead)](https://www.wanted.co.kr/wd/245809) | 소프트스퀘어드 | 경력 5년 이상 | 서울 서초구 |
| 원티드 | [[산업기능요원 / 보충역] 풀스택 개발자](https://www.wanted.co.kr/wd/268730) | 소프트스퀘어드 | 경력 2-5년 | 서울 서초구 |
| 사람인 | [경력직 JAVA Back-end 개발자 모집](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50005045) | 스마트핀텍(주) | 경력 3년↑ · 정규직 | 서울 강남구 |
| 원티드 | [Backend 개발 (미들)](https://www.wanted.co.kr/wd/225840) | 스몰티켓 | 경력 5-10년 | 서울 영등포구 |
| 원티드 | [DW, BI 개발 (4년 이상)](https://www.wanted.co.kr/wd/263284) | 스카이웨어 | 경력 4-10년 | 서울 마포구 |
| 원티드 | [ERP시스템 통계분석 운영(BI/DW) (4년이상)](https://www.wanted.co.kr/wd/263284) | 스카이웨어 | 경력 4-10년 | 서울 마포구 |
